Count,Name,Position X,Position Y,Layer,File Name,Title,Point Link
1,GFX_LINKED-11999,674.5000,-438.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-30-0
1,GFX_GROUP-11999,674.5000,-438.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8905,682.5000,-98.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-11996,636.5000,-98.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8905,682.5000,-98.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-13-0
1,GFX_GROUP-44430,733.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44448,767.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-34-0
1,GFX_LINKED-44430,733.5000,-429.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-33-0
1,GFX_LINKED-12002,700.5000,-458.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-31-0
1,GFX_GROUP-12002,700.5000,-458.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11996,636.5000,-98.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-12-0
1,GFX_GROUP-11123,2216.0000,90.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8911,636.5000,-18.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-9-0
1,GFX_LINKED-11123,2216.0000,90.0000,TAMPER SWITCH,X-5TH FLOOR.dwg,,3:M5-93-0
1,GFX_LINKED-3396,2488.5000,21.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M5-72-0
1,GFX_GROUP-3396,2488.5000,21.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-11969,660.5000,-40.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-11-0
1,GFX_GROUP-11969,660.5000,-40.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8899,682.5000,-18.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-8911,636.5000,-18.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-8899,682.5000,-18.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-10-0
1,GFX_GROUP-44460,1127.5000,-149.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44436,1238.5000,-284.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-24-0
1,GFX_LINKED-44460,1127.5000,-149.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-22-0
1,GFX_LINKED-44466,1067.5000,-209.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-21-0
1,GFX_GROUP-44466,1067.5000,-209.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-12590,1165.5000,-350.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-53-0
1,GFX_GROUP-12590,1165.5000,-350.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-35512,1287.0000,-332.0000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44436,1238.5000,-284.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-35512,1287.0000,-332.0000,PULL STATION,X-5TH FLOOR.dwg,,3:M4-27-0
1,GFX_GROUP-44484,1120.5000,-205.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44454,927.5000,-289.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-17-0
1,GFX_GROUP-44454,927.5000,-289.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44424,738.5000,-460.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-44448,767.5000,-429.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44424,738.5000,-460.5000,SMOKE DETECTOR,X-5TH FLOOR.dwg,,3:M4-32-0
1,GFX_GROUP-44478,1107.5000,-249.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_LINKED-44484,1120.5000,-205.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-20-0
1,GFX_LINKED-44478,1107.5000,-249.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-19-0
1,GFX_LINKED-22730,927.5000,-329.5000,DUCT DETECTOR,X-5TH FLOOR.dwg,,3:M4-16-0
1,GFX_GROUP-22730,927.5000,-329.5000,BACKGROUND,X-5TH FLOOR.dwg,,
1,GFX_GROUP-12950,2488.5000,61.5000,BACKGROUND,X-5TH FLOOR.dwg,,
